Year,BookCount
1790,28
1791,18
1792,19
1793,26
1794,43
1795,64
1796,59
1797,63
1798,49
1799,53
1800,50
1801,13
1802,16
1803,8
1804,15
1805,10
1806,4
1807,14
1808,18
1809,28
1810,104
1811,110
1812,157
1813,130
1814,102
1815,111
1816,117
1817,112
1818,207
1819,178
1820,144
1821,120
1822,226
1823,195
1824,195
1825,185
1826,226
1827,214
1828,249
1829,227
1830,358
1831,328
1832,601
1833,584
1834,564
1835,364
1836,448
1837,484
1838,539
1839,346
1840,688
1841,481
1842,716
1843,830
1844,1079
1845,1595
1846,1259
1847,1339
1848,1336
1849,1239
1850,761
1851,1460
1852,1914
1853,2040
1854,2034
1855,2444
1856,2336
1857,2321
1858,2169
1859,2750
1860,4916
1861,1991
1862,1865
1863,3783
1864,2736
1865,2632
1866,3082
1867,3198
1868,3950
1869,1638
